typeID,materialTypeID,quantity
18,34,107
18,35,213
18,36,107
19,34,56000
19,35,12050
19,36,2100
19,37,450
20,34,134
20,36,267
20,37,134
21,35,1000
21,37,200
21,38,100
21,39,19
22,34,22000
22,36,2500
22,40,320
29,34,4096
29,35,1024
29,36,256
29,37,64
29,38,16
29,39,4
29,40,1
165,38,86
166,38,133
178,34,27
178,35,21
179,34,38
179,35,32
180,34,58
180,35,23
180,37,1
181,34,118
181,36,1
181,37,2
182,34,58
182,35,64
182,36,1
183,34,162
183,35,3
183,37,3
184,34,164
184,35,17
184,37,3
185,34,204
185,35,17
185,38,1
186,34,164
186,35,17
186,37,3
187,34,116
187,35,129
187,36,2
188,34,139
188,35,194
189,34,290
189,35,119
189,36,14
189,37,2
190,34,288
190,35,254
191,34,239
191,35,318
191,36,1
192,34,668
192,35,36
192,36,4
192,37,14
193,34,449
193,35,417
193,36,7
194,34,249
194,35,198
194,37,1
195,34,520
195,35,100
195,36,2
195,37,2
195,38,2
196,34,511
196,35,428
197,34,458
197,35,580
198,34,1040
198,35,156
198,36,104
199,34,1236
199,35,223
199,36,110
200,34,1529
200,36,89
200,37,23
201,34,1778
201,35,127
201,36,89
201,37,29
202,34,3084
202,35,472
202,36,68
202,39,4
203,34,1867
203,35,144
203,36,17
203,38,2
203,39,4
204,34,1842
204,35,707
204,39,4
205,34,1447
205,36,81
205,37,4
205,39,2
206,34,351
206,35,119
206,38,1
207,34,496
207,35,220
207,38,2
208,34,716
208,35,2
208,36,6
208,38,3
209,34,820
209,38,2
210,34,69
210,35,43
210,36,2
211,34,58
211,35,72
212,34,150
212,35,18
212,36,12
213,34,54
213,35,16
213,36,6
215,34,27
215,35,21
216,34,38
216,35,32
217,34,58
217,35,23
217,37,1
218,34,118
218,36,1
218,37,2
219,34,58
219,35,64
219,36,1
220,34,69
220,35,76
220,36,1
221,34,164
221,35,17
221,37,3
222,34,204
222,35,17
222,38,1
223,34,164
223,35,17
223,37,3
224,34,224
224,35,3
224,36,23
225,34,136
225,35,166
225,36,2
226,34,412
226,35,2
226,36,3
226,37,3
226,38,1
227,34,450
227,36,32
227,38,1
228,34,257
228,35,300
228,36,4
229,34,526
229,35,133
229,36,2
229,37,11
230,34,449
230,35,417
230,36,7
231,34,249
231,35,198
231,37,1
232,34,520
232,35,100
232,36,2
232,37,2
232,38,2
233,34,511
233,35,428
234,34,458
234,35,580
235,34,1040
235,35,156
235,36,104
236,34,1236
236,35,223
236,36,110
237,34,1529
237,36,89
237,37,23
238,34,1778
238,35,127
238,36,89
238,37,29
239,35,8
239,37,3
239,38,1
239,39,1
240,34,4
240,35,1
240,36,2
240,37,3
240,38,3
241,34,4
241,36,3
241,37,8
242,34,3
242,35,1
242,36,2
242,37,10
243,34,2
243,35,3
243,36,2
243,37,12
244,34,2
244,36,11
244,37,1
244,39,1
245,34,2
245,35,6
245,36,4
245,37,2
245,38,2
245,39,1
246,35,4
246,37,3
246,38,3
246,39,1
247,34,27
247,36,13
247,37,3
247,38,19
247,39,2
247,40,2
248,36,59
248,37,3
248,38,3
248,40,2
249,35,2
249,36,62
249,40,1
250,35,4
250,36,33
250,37,27
250,40,1
251,35,8
251,36,3
251,37,53
251,38,1
251,40,1
252,34,40
252,36,12
252,38,18
252,40,2
253,35,3
253,36,46
253,37,3
253,38,1
253,39,4
253,40,3
254,34,36
254,36,18
254,38,1
254,39,3
254,40,4
255,34,13
255,35,6
255,36,6
255,37,47
255,38,17
255,39,9
255,40,37
256,36,87
256,37,3
256,38,1
256,39,9
256,40,24
257,35,9
257,36,110
257,37,4
257,38,4
257,39,2
257,40,12
258,35,57
258,36,54
258,37,3
258,38,3
258,39,3
258,40,16
259,35,104
259,37,2
259,38,3
259,39,4
259,40,19
260,35,2
260,36,67
260,37,20
260,38,4
260,39,17
260,40,29
261,35,51
261,36,2
261,37,3
261,38,20
261,39,7
261,40,44
262,35,36
262,36,4
262,37,24
262,38,3
262,39,14
262,40,50
263,34,173
263,35,42
263,36,13
264,34,500
264,35,40
264,36,19
264,37,7
266,34,31
266,35,26
267,34,1876
267,39,12
267,40,4
269,34,150
269,35,18
269,36,12
270,34,11
270,36,2
270,37,11
377,34,916
377,35,64
377,36,29
377,38,4
380,34,916
380,35,64
380,36,29
380,38,4
380,3685,3
380,11399,1
380,11558,3
393,34,458
393,35,610
393,36,51
393,37,4
393,38,3
394,34,458
394,35,610
394,36,51
394,37,4
394,38,3
394,3685,1
394,9838,3
394,11399,1
399,34,1327
399,35,481
399,36,113
400,34,1327
400,35,481
400,36,113
400,9838,1
400,11399,1
400,11556,3
405,34,415
405,35,6
405,36,3
405,38,2
406,34,620
406,35,8
406,36,4
406,38,3
406,11399,1
421,34,666
421,35,245
421,36,194
434,34,3967
434,35,2131
434,36,228
434,37,13
434,38,2
438,34,708
438,35,643
438,36,1
438,38,1
438,11399,1
438,11530,3
438,11531,15
438,11549,8
439,34,708
439,35,643
439,36,1
439,38,1
440,34,3967
440,35,2131
440,36,228
440,37,13
440,38,2
440,11399,17
440,11530,24
440,11531,15
440,11549,8
442,34,589
442,35,3
442,36,14
443,34,551
443,36,34
444,34,1111
447,34,502
447,35,297
447,36,334
447,37,197
447,39,4
448,34,502
448,35,297
448,36,334
448,37,197
448,39,4
448,9840,8
448,9842,15
448,11399,8
448,11534,3
448,11540,9
450,34,231
450,35,220
451,34,1102
451,35,113
451,36,4
451,38,2
451,39,2
452,34,1742
452,35,6
452,36,78
452,37,13
452,39,2
453,34,1556
453,35,1158
453,36,3
453,37,7
454,34,2200
454,35,809
454,36,21
454,37,4
454,39,4
455,34,9
455,35,598
455,36,493
456,34,4453
456,35,1287
456,36,1199
456,40,2
457,34,4529
457,35,1643
457,36,2413
457,38,1
458,34,9089
458,35,2786
458,36,2827
458,37,14
458,38,1
459,34,9133
459,35,2981
459,36,3599
459,37,2
459,38,18
460,34,13684
460,35,4117
460,36,3851
460,39,2
460,40,8
461,34,45551
461,35,12150
461,36,6060
461,37,1596
461,38,126
461,39,16
462,34,68307
462,35,17839
462,36,7197
462,37,1951
462,38,234
462,39,12
462,40,26
463,34,91067
463,35,23527
463,36,8613
463,37,2294
463,38,324
463,39,18
463,40,52
464,34,113880
464,35,29214
464,36,9747
464,37,2650
464,38,411
464,39,42
464,40,74
482,34,1324
482,35,481
482,36,119
482,3689,8
482,11399,1
482,11541,5
482,11689,3
483,34,1324
483,35,481
483,36,119
484,34,231
484,35,220
485,34,996
485,35,300
485,39,2
486,34,1667
486,35,144
486,36,83
486,37,22
487,34,1596
487,35,690
487,36,144
488,34,2729
488,35,148
488,36,171
488,39,4
489,34,827
489,35,598
489,36,493
490,34,4453
490,35,1287
490,36,1199
490,40,2
491,34,4529
491,35,1643
491,36,2413
491,38,1
492,34,9089
492,35,2786
492,36,2827
492,37,14
492,38,1
493,34,9133
493,35,2981
493,36,3599
493,37,2
493,38,18
494,34,13684
494,35,4117
494,36,3851
494,39,2
494,40,8
495,34,45551
495,35,12150
495,36,6060
495,37,1596
495,38,126
495,39,16
496,34,68307
496,35,17839
496,36,7197
496,37,1951
496,38,234
496,39,12
496,40,26
497,34,91067
497,35,23527
497,36,8613
497,37,2294
497,38,324
497,39,18
497,40,52
498,34,113880
498,35,29214
498,36,9747
498,37,2650
498,38,411
498,39,42
498,40,74
499,34,471
499,35,716
501,34,3258
501,35,2926
501,36,107
503,34,122
503,35,1342
503,38,9
503,39,4
503,40,22
506,34,48
506,35,220
506,36,18
506,37,7
506,38,3
508,34,240
508,36,37
509,34,292
509,35,7
509,38,2
518,34,508
518,35,89
518,36,214
518,37,1
518,38,2
519,34,773
519,35,491
519,36,518
519,37,3
519,39,4
519,3689,8
519,9842,3
519,11399,8
519,11538,8
520,34,773
520,35,491
520,36,518
520,37,3
520,39,4
521,34,588
521,35,7
521,37,2
521,38,1
522,34,112
522,35,280
522,36,4
522,37,11
523,34,858
523,35,288
523,40,4
524,34,470
524,35,6827
526,34,862
526,35,792
526,36,529
